Student_ID,Gender,Age,Grade_Level,Attendance (%),Hours_Studied_Weekly,Parental_Education_Level,Household_Income,Previous_Year_Grade,Participation_in_Extracurriculars,Health_Status,Final_Grade
S0111,Female,16,12th,92,10,Master's,Low,A,Yes,Good,A
S0112,Male,16,10th,62,16,Master's,Low,C,No,Poor,D
S0113,Female,16,9th,78,16,Master's,Medium,B,Yes,Good,A
S0114,Female,16,11th,82,12,Master's,High,D,No,Poor,D
S0115,Male,14,12th,88,5,Bachelor's,Low,B,No,Poor,D
S0116,Female,16,9th,89,8,Bachelor's,High,C,Yes,Poor,C
S0117,Male,17,12th,98,15,Bachelor's,Medium,D,Yes,Poor,C
S0118,Female,17,10th,84,7,Master's,Medium,C,Yes,Good,C
S0119,Female,14,9th,96,17,Bachelor's,Low,C,No,Average,C
S0120,Male,16,10th,67,21,Bachelor's,Low,A,No,Good,B
S0121,Female,16,12th,75,14,High School,High,D,Yes,Average,D
S0122,Male,16,12th,67,16,High School,Low,B,Yes,Good,B
S0123,Female,18,10th,60,19,Bachelor's,High,C,No,Poor,C
S0124,Male,15,11th,64,14,High School,Low,B,No,Poor,F
S0125,Male,18,10th,62,18,High School,High,A,Yes,Average,B
S0126,Female,15,12th,60,17,Bachelor's,High,A,No,Average,B
S0127,Female,16,10th,63,9,Bachelor's,High,D,Yes,Good,B
S0128,Male,16,11th,99,10,Bachelor's,High,A,Yes,Average,A
S0129,Female,18,10th,94,6,Bachelor's,Medium,A,Yes,Good,A
S0130,Female,18,11th,91,21,Master's,High,B,No,Average,A
S0131,Female,15,11th,93,8,Master's,Low,A,No,Average,C
S0132,Male,17,10th,84,18,Bachelor's,Medium,A,No,Average,C
S0133,Male,15,10th,69,14,High School,Medium,C,No,Poor,F
S0134,Male,18,9th,80,7,Bachelor's,High,A,Yes,Poor,B
S0135,Male,18,12th,98,7,Bachelor's,Medium,C,No,Good,C
S0136,Male,14,11th,86,19,High School,High,A,Yes,Average,B
S0137,Male,18,9th,86,10,Master's,Low,A,Yes,Good,B
S0138,Male,14,10th,61,21,Bachelor's,High,D,Yes,Average,B
S0139,Male,17,12th,100,16,Bachelor's,Medium,D,No,Poor,C
S0140,Male,15,9th,72,24,Master's,Low,C,Yes,Poor,C
S0141,Female,15,11th,68,15,Master's,High,A,Yes,Average,B
S0142,Male,14,9th,95,8,High School,Low,B,No,Average,D
S0143,Female,15,11th,81,10,Master's,Low,D,Yes,Poor,D
S0144,Female,18,10th,85,5,Master's,Medium,B,No,Poor,D
S0145,Female,16,12th,71,24,Master's,Low,D,No,Good,C
S0146,Male,14,12th,76,20,High School,Medium,D,No,Poor,F
S0147,Male,15,12th,73,19,Master's,Low,A,Yes,Average,B
S0148,Male,14,10th,73,21,Master's,High,D,No,Good,B
S0149,Male,14,11th,93,12,High School,Low,B,No,Average,D
S0150,Female,16,10th,79,16,Master's,High,D,No,Good,B
S0151,Male,18,12th,70,14,Master's,High,C,No,Average,D
S0152,Male,14,10th,75,19,High School,Low,A,Yes,Poor,C
S0153,Male,15,10th,90,13,Bachelor's,High,A,No,Average,C
S0154,Male,17,10th,65,6,High School,Low,C,Yes,Good,D
S0155,Male,14,11th,78,9,Master's,Low,C,No,Average,F
S0156,Female,14,9th,96,10,Master's,High,C,Yes,Good,A
S0157,Male,16,9th,63,11,Master's,High,D,No,Average,D
S0158,Female,18,10th,63,5,High School,Medium,A,Yes,Poor,D
S0159,Male,17,9th,79,11,Master's,High,C,No,Poor,D
S0160,Female,15,9th,69,24,Master's,Medium,D,Yes,Average,C
S0161,Male,17,10th,83,16,High School,High,C,Yes,Average,C
S0162,Male,15,10th,94,20,Bachelor's,Low,B,Yes,Average,A
S0163,Female,18,12th,85,20,Bachelor's,High,B,No,Good,A
S0164,Female,15,9th,96,15,Master's,Low,A,Yes,Average,B
S0165,Female,16,11th,97,8,High School,Low,D,Yes,Average,D
S0166,Male,16,10th,80,17,Master's,Low,B,Yes,Good,A
S0167,Female,16,12th,99,11,High School,Medium,B,Yes,Poor,C
S0168,Male,16,11th,98,8,High School,High,D,No,Average,D
S0169,Male,17,9th,80,19,Bachelor's,Low,C,Yes,Average,C
S0170,Female,18,12th,69,23,Bachelor's,Low,D,Yes,Poor,C
S0171,Female,15,10th,97,13,High School,Medium,C,Yes,Poor,D
S0172,Male,15,11th,63,15,Master's,High,B,No,Good,B
S0173,Male,16,10th,79,12,Bachelor's,High,B,Yes,Average,B
S0174,Female,16,9th,76,5,Master's,Medium,B,Yes,Average,C
S0175,Female,14,11th,66,12,Bachelor's,Medium,A,Yes,Good,B
S0176,Female,18,9th,63,17,Bachelor's,High,A,Yes,Poor,A
S0177,Male,17,9th,88,8,Master's,Medium,A,No,Good,C
S0178,Male,15,12th,73,12,Bachelor's,High,D,Yes,Poor,C
S0179,Male,14,10th,62,7,Bachelor's,High,B,Yes,Good,A
S0180,Male,14,11th,83,13,Master's,Low,B,No,Poor,D
S0181,Male,15,9th,96,6,Bachelor's,Low,D,No,Good,C
S0182,Male,17,9th,75,6,Bachelor's,High,A,No,Poor,C
S0183,Female,14,11th,63,17,Bachelor's,High,D,Yes,Poor,B
S0184,Male,14,9th,83,19,Master's,High,A,No,Poor,B
S0185,Male,18,12th,93,16,High School,High,B,Yes,Poor,A
S0186,Male,17,12th,89,8,Master's,High,C,No,Poor,D
S0187,Female,14,12th,77,12,High School,High,A,Yes,Average,C
S0188,Male,17,12th,78,13,Bachelor's,Medium,B,No,Poor,D
S0189,Male,15,9th,90,9,High School,High,B,Yes,Average,C
S0190,Female,16,11th,78,24,Master's,Medium,C,No,Poor,D
S0191,Male,14,11th,78,22,Master's,Medium,B,Yes,Average,B
S0192,Male,18,11th,81,15,Bachelor's,High,B,Yes,Average,B
S0193,Male,15,11th,83,19,High School,High,A,Yes,Good,A
S0194,Male,17,10th,71,13,Bachelor's,Medium,A,Yes,Poor,C
S0195,Male,15,11th,89,21,Bachelor's,Medium,C,Yes,Good,B
S0196,Female,14,10th,97,16,Master's,High,C,Yes,Good,A
S0197,Female,17,10th,90,11,High School,High,B,Yes,Poor,C
S0198,Female,16,12th,95,14,High School,Medium,A,Yes,Good,B
S0199,Male,15,10th,78,14,High School,Medium,C,No,Poor,F
S0200,Male,14,9th,95,17,High School,Medium,C,Yes,Good,B
S0201,Male,18,10th,89,23,Bachelor's,Low,D,Yes,Poor,C
S0202,Female,17,12th,92,15,Bachelor's,Medium,C,No,Poor,D
S0203,Male,15,10th,77,17,Master's,Low,B,Yes,Poor,B
S0204,Male,15,9th,87,12,Bachelor's,High,A,No,Average,C
S0205,Female,16,9th,70,12,Bachelor's,High,C,Yes,Good,B
S0206,Male,16,9th,92,8,Master's,Medium,D,No,Average,D
S0207,Female,18,12th,76,19,Master's,High,A,No,Good,A
S0208,Female,18,12th,65,15,Master's,High,C,Yes,Good,B
S0209,Female,14,11th,63,15,Bachelor's,High,D,No,Good,C
S0210,Male,14,12th,79,5,Bachelor's,High,C,Yes,Average,C
S0211,Male,18,9th,86,21,Master's,Low,A,Yes,Good,A
S0212,Male,18,9th,74,19,Master's,Low,A,Yes,Average,B
S0213,Male,17,12th,65,24,Master's,Medium,A,Yes,Poor,B
S0214,Male,16,10th,73,10,Bachelor's,Medium,B,No,Good,C
S0215,Male,14,12th,70,19,Bachelor's,Medium,C,Yes,Good,B
S0216,Male,16,12th,98,13,High School,High,B,No,Poor,C
S0217,Female,16,9th,68,18,Bachelor's,High,A,No,Poor,B
S0218,Male,18,11th,85,22,Bachelor's,Low,D,Yes,Good,B
S0219,Female,17,9th,75,21,Bachelor's,Low,C,Yes,Poor,C
S0220,Male,15,11th,64,22,Master's,Medium,B,Yes,Average,B
S0221,Male,17,9th,69,9,Bachelor's,Low,C,Yes,Average,D
S0222,Male,17,12th,62,24,Master's,Low,D,No,Good,C
S0223,Female,16,9th,72,24,High School,Low,B,Yes,Average,C
S0224,Female,17,9th,89,13,High School,Low,A,No,Average,F
S0225,Female,14,9th,65,15,Master's,Low,B,Yes,Good,B
S0226,Female,16,12th,76,5,Master's,Medium,C,Yes,Poor,D
S0227,Male,14,12th,78,22,Master's,Medium,C,Yes,Good,B
S0228,Female,15,12th,94,10,Bachelor's,Low,C,Yes,Average,C
S0229,Male,16,12th,85,6,High School,Medium,C,No,Good,F
S0230,Male,15,11th,64,19,Master's,High,A,No,Good,A
S0231,Female,16,11th,88,18,Bachelor's,Low,B,Yes,Average,B
S0232,Female,18,10th,96,9,High School,High,A,No,Average,C
S0233,Female,17,12th,79,10,Bachelor's,Medium,A,No,Good,C
S0234,Female,18,11th,80,10,High School,Medium,A,Yes,Average,D
S0235,Female,15,9th,69,22,Bachelor's,High,C,Yes,Average,B
S0236,Female,17,12th,64,18,High School,Medium,C,No,Average,F
S0237,Female,16,10th,95,14,High School,Low,C,No,Average,F
S0238,Female,17,10th,65,18,Bachelor's,High,B,No,Average,B
S0239,Male,14,10th,85,17,Master's,Low,D,No,Average,D
S0240,Female,17,9th,63,7,High School,High,C,Yes,Poor,D
S0241,Female,14,11th,98,10,Master's,Medium,B,Yes,Good,A
S0242,Male,17,9th,98,12,Bachelor's,High,C,No,Average,C
S0243,Female,14,12th,94,16,Master's,High,C,Yes,Good,A
S0244,Male,15,10th,60,17,Master's,Low,A,No,Poor,C
S0245,Male,18,9th,83,15,Master's,Medium,A,No,Average,D
S0246,Female,16,9th,95,16,Master's,Low,A,Yes,Good,A
S0247,Male,17,11th,65,5,Master's,Medium,B,No,Average,D
S0248,Male,18,11th,100,21,High School,Low,D,No,Average,D
S0249,Male,16,10th,90,20,High School,High,D,Yes,Average,C
S0250,Male,16,9th,79,15,High School,Low,B,Yes,Average,D
S0251,Female,14,9th,83,17,Bachelor's,Medium,C,No,Average,D
S0252,Male,15,11th,84,22,Master's,Medium,B,No,Average,C
S0253,Female,15,9th,95,15,High School,High,C,Yes,Average,C
S0254,Male,18,9th,80,16,Bachelor's,Medium,B,No,Poor,C
S0255,Male,15,9th,89,10,High School,Low,B,No,Poor,F
S0256,Male,17,11th,83,13,High School,High,B,Yes,Average,C
S0257,Male,15,10th,89,20,Master's,Medium,D,Yes,Average,C
S0258,Female,18,12th,81,8,Bachelor's,Medium,A,Yes,Poor,C
S0259,Female,15,10th,87,7,Master's,Low,B,Yes,Poor,C
S0260,Male,17,12th,66,20,Master's,Low,D,Yes,Poor,C
S0261,Male,14,9th,94,16,High School,High,A,Yes,Average,A
S0262,Female,18,10th,87,15,Master's,Medium,A,No,Good,C
S0263,Male,14,12th,73,9,Bachelor's,Low,B,No,Good,C
S0264,Male,14,11th,69,22,Master's,High,C,Yes,Good,A
S0265,Male,14,11th,75,23,Master's,Medium,C,Yes,Good,B
S0266,Female,16,10th,75,10,Master's,Medium,C,No,Average,F
S0267,Female,16,10th,90,22,High School,High,B,No,Good,B
S0268,Female,14,9th,84,10,Bachelor's,High,C,No,Poor,D
S0269,Male,18,10th,72,8,High School,Low,D,Yes,Poor,F
S0270,Male,17,9th,65,16,High School,Medium,D,Yes,Good,C
S0271,Female,17,9th,68,23,High School,Medium,D,No,Poor,F
S0272,Female,15,11th,95,6,High School,Medium,D,Yes,Average,D
S0273,Female,18,11th,79,21,High School,High,A,Yes,Good,A
S0274,Female,16,12th,77,15,Bachelor's,Low,D,Yes,Good,C
S0275,Male,14,11th,80,15,Master's,Medium,C,No,Average,F
S0276,Female,15,11th,63,20,High School,High,B,No,Poor,C
S0277,Male,17,10th,92,6,High School,Medium,C,Yes,Average,D
S0278,Female,16,11th,86,6,Bachelor's,Low,D,Yes,Average,D
S0279,Male,16,12th,66,12,Bachelor's,Medium,A,Yes,Poor,C
S0280,Female,14,10th,65,17,Master's,Low,D,Yes,Average,C
S0281,Female,17,12th,74,14,Bachelor's,Low,B,Yes,Poor,C
S0282,Female,18,11th,77,12,Master's,Medium,C,No,Poor,F
S0283,Female,16,12th,91,8,High School,Medium,B,Yes,Average,C
S0284,Male,14,10th,70,19,High School,Low,B,Yes,Poor,C
S0285,Female,18,9th,79,5,Master's,High,B,Yes,Average,B
S0286,Male,17,12th,83,15,Bachelor's,Low,C,No,Poor,F
S0287,Male,16,12th,74,11,Master's,Medium,D,No,Good,D
S0288,Male,18,10th,66,21,Bachelor's,Medium,B,Yes,Poor,B
S0289,Male,18,10th,80,24,High School,High,C,No,Poor,D
S0290,Female,18,12th,85,22,Bachelor's,Low,A,No,Average,C
S0291,Male,16,11th,73,16,Master's,Low,C,No,Poor,D
S0292,Male,16,12th,96,13,Master's,Low,A,No,Good,B
S0293,Male,15,10th,80,9,High School,Medium,C,No,Good,F
S0294,Female,17,9th,77,14,Bachelor's,Low,D,No,Poor,F
S0295,Female,14,9th,64,8,Bachelor's,High,B,Yes,Poor,B
S0296,Female,18,11th,62,9,Bachelor's,Medium,D,No,Good,D
S0297,Female,15,12th,82,14,High School,Medium,C,No,Average,F
S0298,Male,14,9th,85,15,Bachelor's,Low,B,Yes,Good,B
S0299,Male,15,12th,96,14,Master's,High,A,Yes,Good,A
S0300,Female,16,10th,83,12,Bachelor's,Medium,C,Yes,Poor,D
S0301,Male,18,9th,78,6,High School,Medium,B,Yes,Poor,D
S0302,Male,14,11th,84,12,Bachelor's,Low,A,No,Good,C
S0303,Male,14,10th,80,20,Bachelor's,Low,A,No,Average,C
S0304,Female,14,11th,71,9,Master's,High,D,No,Good,C
S0305,Female,14,10th,100,7,Bachelor's,Low,C,No,Good,C
S0306,Male,14,9th,92,16,Master's,High,A,Yes,Average,A
S0307,Female,15,11th,63,17,Master's,Medium,B,No,Good,B
S0308,Female,18,11th,66,17,High School,High,A,No,Good,B
S0309,Female,16,10th,81,14,Master's,High,A,Yes,Poor,B
S0310,Female,16,11th,92,8,Master's,High,D,No,Average,C
S0311,Female,16,10th,76,13,High School,Medium,D,No,Poor,F
S0312,Male,16,10th,83,6,Master's,Low,B,No,Poor,D
S0313,Female,15,10th,93,23,High School,Medium,D,No,Average,D
S0314,Male,17,10th,87,5,Bachelor's,Low,A,Yes,Average,C
S0315,Male,18,9th,100,11,High School,High,A,Yes,Good,A
S0316,Female,14,10th,98,21,Master's,High,D,Yes,Poor,A
S0317,Male,17,12th,81,7,High School,High,A,Yes,Average,C
S0318,Male,16,11th,76,24,Master's,High,A,Yes,Poor,A
S0319,Male,17,12th,93,24,Bachelor's,High,B,No,Poor,A
S0320,Female,18,9th,65,7,High School,Low,D,No,Average,F
S0321,Female,14,12th,65,7,Bachelor's,Low,A,Yes,Good,B
S0322,Male,14,11th,93,21,Master's,High,D,Yes,Poor,A
S0323,Female,18,12th,60,11,Master's,Medium,B,Yes,Average,C
S0324,Female,18,9th,69,18,Bachelor's,Medium,D,No,Good,C
S0325,Female,16,10th,80,21,High School,High,A,Yes,Poor,B
S0326,Female,14,12th,64,22,High School,Low,D,No,Average,F
S0327,Male,17,9th,61,17,Master's,Medium,A,No,Poor,C
S0328,Male,15,9th,81,24,Bachelor's,Medium,A,No,Average,C
S0329,Female,15,11th,61,24,Bachelor's,Medium,A,No,Average,C
S0330,Female,18,11th,69,22,High School,High,B,Yes,Poor,B
S0331,Male,16,12th,93,8,High School,Medium,D,No,Poor,F
S0332,Male,15,10th,75,5,High School,Medium,B,No,Average,F
S0333,Female,14,9th,98,22,Bachelor's,Medium,D,Yes,Good,A
S0334,Male,18,12th,81,5,High School,Medium,B,No,Poor,F
S0335,Female,17,9th,71,17,High School,Low,C,No,Average,F
S0336,Female,18,9th,83,24,Master's,High,A,No,Average,B
S0337,Male,17,10th,99,24,High School,High,A,Yes,Good,A
S0338,Male,18,10th,97,14,High School,Low,B,No,Good,C
S0339,Female,18,12th,69,15,Bachelor's,Low,C,No,Good,D
S0340,Female,18,10th,94,13,Bachelor's,High,A,Yes,Poor,A
S0341,Male,17,10th,91,13,Master's,Medium,D,Yes,Average,C
S0342,Female,17,12th,66,9,High School,Medium,B,No,Average,F
S0343,Male,18,10th,80,5,Master's,High,A,No,Average,C
S0344,Female,15,11th,79,21,Bachelor's,Medium,A,Yes,Good,A
S0345,Male,16,9th,85,6,Master's,Low,B,No,Average,D
S0346,Male,16,9th,63,17,Bachelor's,Medium,B,Yes,Poor,B
S0347,Male,16,9th,81,13,Master's,Medium,D,No,Good,D
S0348,Female,17,9th,74,8,Master's,Medium,D,Yes,Good,C
S0349,Female,17,12th,99,9,High School,High,A,No,Good,B
S0350,Male,15,9th,80,15,Master's,Low,A,Yes,Good,B
S0351,Female,16,9th,74,23,High School,Medium,B,Yes,Poor,C
S0352,Male,16,9th,81,7,High School,High,A,Yes,Average,C
S0353,Male,18,9th,87,16,High School,Medium,A,Yes,Poor,C
S0354,Female,17,11th,73,23,High School,Low,B,Yes,Average,C
S0355,Female,16,9th,86,23,Master's,Medium,A,No,Poor,C
S0356,Male,15,11th,100,17,Bachelor's,Low,A,No,Good,A
S0357,Female,15,12th,99,11,Bachelor's,Medium,C,Yes,Good,B
S0358,Female,16,10th,87,19,Bachelor's,Low,D,No,Poor,D
S0359,Male,17,9th,85,11,Master's,Medium,B,No,Poor,D
S0360,Male,15,10th,61,12,High School,Low,C,No,Average,F
S0361,Female,18,10th,84,9,Bachelor's,Medium,D,No,Poor,F
S0362,Male,15,12th,62,18,Master's,Medium,D,No,Poor,D
S0363,Male,14,10th,67,8,High School,High,D,No,Average,F
S0364,Female,14,11th,92,14,Bachelor's,High,C,Yes,Average,B
S0365,Male,17,10th,94,24,High School,Low,C,No,Average,D
S0366,Male,16,10th,65,19,Bachelor's,Medium,D,No,Poor,D
S0367,Female,17,10th,98,22,Bachelor's,Low,A,No,Average,B
S0368,Female,17,9th,82,24,Bachelor's,High,A,Yes,Good,A
S0369,Male,17,9th,84,17,High School,Low,C,No,Good,D
S0370,Male,17,11th,78,12,Master's,Low,C,No,Good,D
S0371,Female,18,11th,64,13,High School,High,C,No,Poor,F
S0372,Female,18,9th,70,20,Bachelor's,Medium,D,Yes,Good,B
S0373,Female,15,11th,71,23,High School,Low,A,No,Poor,D
S0374,Female,14,9th,69,20,Master's,High,C,Yes,Poor,B
S0375,Male,17,12th,67,11,High School,Medium,C,No,Good,F
S0376,Female,15,10th,83,18,Master's,High,B,Yes,Average,A
S0377,Female,14,10th,87,18,Master's,Low,D,Yes,Poor,C
S0378,Male,16,11th,100,8,High School,Medium,B,Yes,Good,B
S0379,Female,18,9th,95,19,Bachelor's,Medium,A,No,Poor,B
S0380,Male,14,9th,96,7,Master's,High,B,Yes,Average,A
S0381,Female,16,11th,80,9,High School,High,B,Yes,Average,C
S0382,Female,14,9th,67,5,Master's,High,B,Yes,Good,A
S0383,Female,18,12th,68,7,Bachelor's,Medium,D,Yes,Poor,D
S0384,Male,18,10th,74,19,High School,Medium,A,No,Poor,D
S0385,Male,15,11th,99,12,High School,Low,B,No,Poor,D
S0386,Female,17,11th,77,8,High School,Medium,D,No,Poor,F
S0387,Male,14,9th,79,6,Bachelor's,Low,A,No,Good,C
S0388,Male,14,11th,65,14,Master's,High,C,Yes,Average,C
S0389,Male,16,12th,71,8,High School,High,B,No,Good,C
S0390,Male,18,9th,61,7,Master's,Medium,A,Yes,Poor,C
S0391,Male,14,9th,66,6,Master's,High,B,No,Poor,C
S0392,Male,18,9th,75,21,Bachelor's,High,C,No,Average,C
S0393,Female,14,9th,62,24,High School,Medium,A,No,Poor,D
S0394,Female,15,12th,62,17,Master's,Low,D,Yes,Good,B
S0395,Male,17,9th,86,9,High School,Medium,A,No,Good,D
S0396,Female,14,11th,99,13,High School,Low,D,No,Average,F
S0397,Female,18,12th,97,10,Bachelor's,Medium,A,No,Good,B
S0398,Female,15,10th,92,9,High School,Medium,D,Yes,Good,C
S0399,Female,14,10th,87,14,High School,High,C,No,Good,D
S0400,Male,16,11th,60,12,Master's,Medium,C,No,Good,D
S0401,Female,17,11th,67,11,Bachelor's,Medium,C,Yes,Poor,D
S0402,Female,14,12th,96,11,High School,Low,A,Yes,Good,B
S0403,Male,15,10th,91,10,Master's,High,C,No,Average,C
S0404,Male,16,10th,96,24,Bachelor's,Low,B,No,Average,B
S0405,Female,15,10th,63,7,Bachelor's,Low,C,No,Good,D
S0406,Female,15,10th,89,23,Master's,High,D,Yes,Average,B
